"Id","Subject","StartTime","EndTime","IsAllDay","ProjectId","TaskId"
51,"Bug Automation","2023-01-26T04:30:00.000Z","2023-01-26T05:30:00.000Z",false,1,1
52,"Functionality testing","2023-01-26T03:30:00.000Z","2023-01-26T06:00:00.000Z",false,1,2
53,"Resolution-based testing","2023-01-27T08:30:00.000Z","2023-01-27T09:30:00.000Z",false,2,1
54,"Test report validation","2023-01-27T03:30:00.000Z","2023-01-27T05:30:00.000Z",false,2,2
55,"Test case correction","2023-01-28T04:30:00.000Z","2023-01-28T06:00:00.000Z",false,1,1
56,"Run test cases","2023-01-28T04:30:00.000Z","2023-01-28T05:00:00.000Z",false,2,2
57,"Bug fixing","2023-01-29T06:30:00.000Z","2023-01-29T07:00:00.000Z",false,1,1
58,"Debugging","2023-01-29T03:30:00.000Z","2023-01-29T05:00:00.000Z",false,2,2
59,"Exception handling","2023-01-30T04:30:00.000Z","2023-01-30T05:30:00.000Z",false,2,1
60,"Decoding","2023-01-30T05:00:00.000Z","2023-01-30T07:00:00.000Z",false,2,2
61,"Decoding","2023-01-04T04:00:00.000Z","2023-01-04T05:00:00.000Z",false,2,2
62,"Bug Automation","2023-01-04T10:30:00.000Z","2023-01-04T14:30:00.000Z",false,2,1
63,"Functionality testing","2023-01-04T03:30:00.000Z","2023-01-04T05:00:00.000Z",false,1,1
64,"Resolution-based testing","2023-01-04T06:30:00.000Z","2023-01-04T09:30:00.000Z",false,2,4
65,"Test report validation","2023-01-04T09:30:00.000Z","2023-01-04T12:30:00.000Z",false,1,1
66,"Test case correction","2023-01-04T08:30:00.000Z","2023-01-04T10:30:00.000Z",false,3,6
67,"Bug fixing","2023-01-04T09:00:00.000Z","2023-01-04T13:00:00.000Z",false,3,5
68,"Run test cases","2023-01-04T12:00:00.000Z","2023-01-04T14:00:00.000Z",false,2,4
70,"Bug Automation","2023-01-04T10:30:00.000Z","2023-01-04T14:30:00.000Z",false,2,3
